DATE,CPMNACSCAB1GQEU28
2005-01-01,2834517.3
2005-04-01,2884866.5
2005-07-01,2916056.8
2005-10-01,2963564.8
2006-01-01,2998885.0
2006-04-01,3045084.2
2006-07-01,3088005.2
2006-10-01,3144247.9
2007-01-01,3202977.6
2007-04-01,3233510.3
2007-07-01,3273785.2
2007-10-01,3300103.8
2008-01-01,3301432.1
2008-04-01,3291848.9
2008-07-01,3289015.1
2008-10-01,3198054.9
2009-01-01,3055352.1
2009-04-01,3067875.6
2009-07-01,3097761.5
2009-10-01,3106365.7
2010-01-01,3137956.2
2010-04-01,3199169.0
2010-07-01,3238548.3
2010-10-01,3255904.6
2011-01-01,3303379.3
2011-04-01,3294435.7
2011-07-01,3302517.1
2011-10-01,3311867.0
2012-01-01,3341959.8
2012-04-01,3358637.5
2012-07-01,3399346.0
2012-10-01,3386104.4
2013-01-01,3365011.4
2013-04-01,3389755.8
2013-07-01,3409690.0
2013-10-01,3437346.2
2014-01-01,3473299.0
2014-04-01,3500330.0
2014-07-01,3539064.9
2014-10-01,3567086.9
2015-01-01,3645232.8
2015-04-01,3701353.4
2015-07-01,3726103.6
2015-10-01,3751098.9
2016-01-01,3737896.8
2016-04-01,3746214.8
2016-07-01,3719802.9
2016-10-01,3745897.3
2017-01-01,3796989.1
2017-04-01,3838193.0
2017-07-01,3855196.1
2017-10-01,3898793.3
2018-01-01,3932253.3
2018-04-01,3962367.6
2018-07-01,3977863.0
2018-10-01,4010992.1
