Time,HPI
2005Q1,56.65
2005Q2,56.48
2005Q3,61.17
2005Q4,59.43
2006Q1,62.34
2006Q2,69.34
2006Q3,71.59
2006Q4,76.88
2007Q1,80.89
2007Q2,84.76
2007Q3,86.24
2007Q4,87.1
2008Q1,94.4
2008Q2,90.54
2008Q3,96.44
2008Q4,95.19
2009Q1,91.74
2009Q2,89.78
2009Q3,90.87
2009Q4,87.9
2010Q1,91.5
2010Q2,91.16
2010Q3,94.04
2010Q4,87.45
2011Q1,88.65
2011Q2,90.79
2011Q3,91.03
2011Q4,88.73
2012Q1,90.5
2012Q2,89.49
2012Q3,96.03
2012Q4,94.13
2013Q1,91.37
2013Q2,90.1
2013Q3,94.33
2013Q4,92.83
2014Q1,92.82
2014Q2,92.73
2014Q3,94.58
2014Q4,97.92
2015Q1,95.3
2015Q2,96.07
2015Q3,102.72
2015Q4,105.92
2016Q1,100.29
2016Q2,102.78
2016Q3,107.62
2016Q4,111.12
2017Q1,105.61
2017Q2,108.88
2017Q3,113.02
2017Q4,116.59
2018Q1,111.08
2018Q2,115.43
2018Q3,119.32
2018Q4,123.82

